State_Name,Year,PC_No,Party,Candidate,Sex,Total_Votes,N_Segments,PC_Name,PC_Position,PC_Total_Votes,PC_Vote_Share,N_Candidates_PC
Andhra_Pradesh,2004,19,BRPP,MANGALAPURI VENKATESWA,M,3419,7,NELLORE,7,833825,0.4100380775342548,9
Andhra_Pradesh,2004,19,BSP,MARLAPATI VEMAIAH,M,9393,7,NELLORE,4,833825,1.1264953677330376,9
Andhra_Pradesh,2004,19,INC,PANABAKA LAKSHMI,F,448295,7,NELLORE,1,833825,53.763679429136815,9
Andhra_Pradesh,2004,19,IND,DAVA PENCHALA RAO,M,3875,7,NELLORE,6,833825,0.4647258117710551,9
Andhra_Pradesh,2004,19,IND,MADDELA BRAHMANAIDU,M,2285,7,NELLORE,9,833825,0.27403831739273826,9
Andhra_Pradesh,2004,19,IND,OURUVURU KRISHNAIAH,M,3415,7,NELLORE,8,833825,0.40955836056726536,9
Andhra_Pradesh,2004,19,IND,VENKATA RAM RAVINUTHALA,M,5981,7,NELLORE,5,833825,0.7172967948910143,9
Andhra_Pradesh,2004,19,SP,MALAKONDAIAH.Y,M,36084,7,NELLORE,3,833825,4.327526759212065,9
Andhra_Pradesh,2004,20,BJP,DR. N. VENKATA SWAMY,M,310841,7,TIRUPATHI,2,848995,36.612818685622415,4
Andhra_Pradesh,2004,20,INC,CHINTA MOHAN,M,509966,7,TIRUPATHI,1,848995,60.06702041825923,4
Andhra_Pradesh,2004,20,IND,KATTAMANCHI PRABHAKAR,M,11680,7,TIRUPATHI,4,848995,1.3757442623337004,4
Andhra_Pradesh,2004,20,TRS,K. ESWAR RAO,M,16508,7,TIRUPATHI,3,848995,1.9444166337846513,4
Andhra_Pradesh,2004,21,INC,DR. RAVURI VENKATA SWAMY,M,391085,7,CHITTOOR,2,874438,44.72415425679122,6
Andhra_Pradesh,2004,21,IND,D.A NAGARAJU,M,5527,7,CHITTOOR,5,874438,0.6320631079619138,6
Andhra_Pradesh,2004,21,IND,S.SAHADEVA REDDY,M,10430,7,CHITTOOR,3,874438,1.192766096624346,6
Andhra_Pradesh,2004,21,IND,SHAIK JEELANI BASHA,M,3653,7,CHITTOOR,6,874438,0.41775403173238124,6
Andhra_Pradesh,2004,21,TDP,D.K. AUDIKESAVULU,M,453486,7,CHITTOOR,1,874438,51.860280545904914,6
Andhra_Pradesh,2004,21,TRS,A.MALLA RAO,M,10257,7,CHITTOOR,4,874438,1.172981960985227,6
Andhra_Pradesh,2004,22,INC,ANNAYYAGARI SAI PRATHAP,M,368290,7,RAJAMPET,1,688887,53.461598201156356,5
Andhra_Pradesh,2004,22,IND,HAJI MD. AZAM SHAIK,M,11916,7,RAJAMPET,3,688887,1.7297466783376663,5
Andhra_Pradesh,2004,22,JP,MUKKA NARASIMHA REDDY,M,6653,7,RAJAMPET,5,688887,0.9657607125696959,5
Andhra_Pradesh,2004,22,TDP,GUNIPATI RAMAIAH,M,290781,7,RAJAMPET,2,688887,42.210260899102465,5
