State,Constituency,Predicted_Woman_Win_Prob,Predicted_Man_Win_Prob,Predicted_Gender_Gap,Empirical_Women_Win_Rate,Empirical_Men_Win_Rate,Women_Fielded,Total_Candidates,Const_Type,Potential_Score
Andhra_Pradesh,ACHAMPET,0.4151719377184396,0.4170518324583388,0.001879894739899246,0.0,0.2037037037037037,0,54,SC,41.43914581765689
Andhra_Pradesh,ACHANTA,0.36251804710274016,0.36430804264254446,0.001789995539804301,0.0,0.15294117647058825,1,86,GEN,36.18691414153277
Andhra_Pradesh,ADDANKI,0.358349156524867,0.36013019623470005,0.0017810397098330655,0.0,0.15853658536585366,0,82,GEN,35.771092244711106
Andhra_Pradesh,ADILABAD,0.35652580503202097,0.3583028429085348,0.0017770378765138428,0.0,0.1518987341772152,0,79,GEN,35.58922451725245
Andhra_Pradesh,ADONI,0.3414798313125365,0.3432218761832152,0.001742044870678694,0.0,0.13402061855670103,0,97,GEN,34.08849581239583
Andhra_Pradesh,ALAIR,0.36917199613642987,0.37097572707434573,0.0018037309379158595,0.0,0.13414634146341464,0,82,GEN,36.850610918558644
Andhra_Pradesh,ALAIR(SC),0.36067931438061923,0.36246539311612597,0.0017860787355067353,0.0,0.09090909090909091,0,11,SC,36.00351127268668
Andhra_Pradesh,ALAMPUR,0.32709278102001654,0.3287980769346501,0.0017052959146335311,0.0,0.12087912087912088,0,91,SC,32.6534991036837
Andhra_Pradesh,ALAMURU,0.32397463074914346,0.3256715379574343,0.0016969072082908543,0.0,0.11475409836065574,0,61,GEN,32.34248758629219
Andhra_Pradesh,ALLAGADA,0.2602015652712926,0.2616937481443838,0.0014921828730911635,0.0,0.2,0,5,GEN,25.98132969520433
Andhra_Pradesh,ALLAGADDA,0.3312995540810135,0.3330159280304653,0.0017163739494517882,0.0,0.1320754716981132,2,108,GEN,33.07309201569239
Andhra_Pradesh,ALLAGADDU,0.3017170930724441,0.30334973266088755,0.001632639588443452,0.0,0.07142857142857142,0,14,GEN,30.122449780178396
Andhra_Pradesh,ALLAVARAM,0.3930632604193544,0.3949106460633261,0.0018473856439716885,0.0,0.18181818181818182,0,55,SC,39.2337120994883
Andhra_Pradesh,ALLUR,0.37044848275988795,0.37225477011585295,0.0018062873559649972,0.0,0.2127659574468085,0,47,GEN,36.97793463494424
Andhra_Pradesh,ALUR,0.3731591991978514,0.3749708314255569,0.0018116322277055286,0.0,0.15789473684210525,3,79,GEN,37.24831719665198
Andhra_Pradesh,AMADALAVALASA,0.3661674570255088,0.3679650709525692,0.0017976139270604041,0.0,0.17543859649122806,1,58,GEN,36.55092293051235
Andhra_Pradesh,AMALAPURAM,0.35688042778308976,0.3586582480175117,0.0017778202344219673,0.0,0.16470588235294117,2,87,SC,35.62459585373078
Andhra_Pradesh,AMARCHINTA,0.3697448757434423,0.3715497571147647,0.0018048813713223977,0.0,0.1956521739130435,0,46,GEN,36.90775301050711
Andhra_Pradesh,AMBERPET,0.33355875934985163,0.3352809691760094,0.0017222098261577834,0.0,0.0625,0,16,GEN,33.29843011768983
Andhra_Pradesh,ANAKAPALLE,0.30169650503505796,0.30332908161193595,0.0016325765768779865,0.0,0.08333333333333333,0,12,GEN,30.120396238761177
Andhra_Pradesh,ANAKAPALLI,0.3735500733413256,0.375362466869585,0.001812393528259404,0.0,0.16901408450704225,2,73,GEN,37.28730536059209
Andhra_Pradesh,ANANTAPUR,0.3850345765301595,0.3868682800398903,0.001833703509730833,0.0,0.16666666666666666,0,54,GEN,38.43285372758084
Andhra_Pradesh,ANANTAPUR URBAN,0.3259549583573887,0.3276572107119216,0.0017022523545329182,0.0,0.06060606060606061,0,66,GEN,32.54001007620532
Andhra_Pradesh,ANAPARTHI,0.442976536046304,0.4448865567191837,0.0019100206728797087,0.0,0.2727272727272727,0,11,GEN,44.21304417048549
Andhra_Pradesh,ANAPARTHY,0.32022420292102605,0.3219108202879457,0.0016866173669196627,0.0,0.10989010989010989,2,93,GEN,31.96841072190714
Andhra_Pradesh,ANATAPUR,0.34656781880404086,0.3483220904051196,0.0017542716010787163,0.0,0.2,0,5,GEN,34.59598447216651
Andhra_Pradesh,ANDOLE,0.3927266809975359,0.39457351314031647,0.0018468321427805856,0.0,0.1935483870967742,0,62,SC,39.20013807397421
Andhra_Pradesh,ARAKU VALLEY,0.4071620936519734,0.40903108622563555,0.0018689925736621316,0.0,0.1,2,32,ST,40.640111072266116
Andhra_Pradesh,ARMOOR,0.3763037000722627,0.3781213896131618,0.001817689540899059,0.0,0.23809523809523808,0,42,GEN,37.56196967724398
Andhra_Pradesh,ARMUR,0.3324565132715166,0.33417588573095025,0.0017193724594336546,0.0,0.1,0,10,GEN,33.18848966986382
Andhra_Pradesh,ASAFNAGAR,0.3181276384009345,0.3198084082964523,0.0016807698955177974,0.0,0.096,0,125,GEN,31.759293904337802
Andhra_Pradesh,ASIFABAD,0.44920684841090225,0.4511219764351498,0.0019151280242475366,0.0,0.1774193548387097,0,62,ST,44.83465597868266
