State,Total_Seats,Women_Reserved_Seats_Est,Women_Banzhaf_Index,Women_Is_Pivotal,NDA_Banzhaf_Before,NDA_Banzhaf_After,NDA_Power_Change,INDIA_Banzhaf_Before,INDIA_Banzhaf_After,INDIA_Power_Change
Uttar_Pradesh,836,107,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Uttarakhand,94,13,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Arunachal_Pradesh,91,17,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Himachal_Pradesh,105,16,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Telangana,119,15,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Haryana,131,15,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Meghalaya,94,15,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Mizoram,92,14,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Jharkhand,94,13,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Madhya_Pradesh,508,73,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Manipur,79,12,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Tripura,75,11,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Nagaland,69,10,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Puducherry,59,8,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Sikkim,60,8,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Goa,47,6,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Delhi,141,18,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Jammu_&_Kashmir,151,18,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Chhattisgarh,121,19,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Assam,178,25,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Madras,160,29,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Kerala,240,30,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Punjab,235,30,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Mysore,221,32,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Odisha,247,36,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Gujarat,270,37,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Karnataka,321,39,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Rajasthan,290,40,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Tamil_Nadu,331,41,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Maharashtra,513,65,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
West_Bengal,467,65,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Andhra_Pradesh,495,67,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Bihar,523,67,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
Goa_Daman_&_Diu,39,4,0.0,No,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
