State,Constituency,Women_Candidates,Women_Candidacy_Pct,Women_Won,Total_Candidates,Electors,Turnout_Pct
Andhra_Pradesh,ACHAMPET,0,0.0,False,54,210950.0,68.73
Andhra_Pradesh,ACHANTA,1,1.1627906976744187,False,86,174308.0,79.6
Andhra_Pradesh,ADDANKI,0,0.0,False,82,231977.0,89.45
Andhra_Pradesh,ADILABAD,0,0.0,False,79,177743.0,67.43
Andhra_Pradesh,ADONI,0,0.0,False,97,240234.0,65.48
Andhra_Pradesh,ALAIR,0,0.0,False,82,225352.0,74.94
Andhra_Pradesh,ALAIR(SC),0,0.0,False,11,163195.0,71.57
Andhra_Pradesh,ALAMPUR,0,0.0,False,91,188729.0,68.54
Andhra_Pradesh,ALAMURU,0,0.0,False,61,152741.0,78.03
Andhra_Pradesh,ALLAGADA,0,0.0,False,5,113688.0,69.71
Andhra_Pradesh,ALLAGADDA,2,1.8518518518518519,False,108,221164.0,83.96
Andhra_Pradesh,ALLAGADDU,0,0.0,False,14,170560.0,61.52
Andhra_Pradesh,ALLAGAHDA,0,0.0,False,3,101392.0,73.41
Andhra_Pradesh,ALLAVARAM,0,0.0,False,55,118687.0,76.99
Andhra_Pradesh,ALLAVARAM(SC),0,0.0,False,2,88715.0,64.94
Andhra_Pradesh,ALLUR,0,0.0,False,47,138466.0,79.5
Andhra_Pradesh,ALUR,3,3.7974683544303796,False,79,236320.0,80.11
Andhra_Pradesh,ALUR(SC),0,0.0,False,3,95724.0,62.43
Andhra_Pradesh,AMADALAVALASA,1,1.7241379310344827,False,58,189677.0,79.12
Andhra_Pradesh,AMALAPURAM,2,2.2988505747126435,False,87,203768.0,83.12
Andhra_Pradesh,AMARCHINTA,0,0.0,False,46,194190.0,65.72
Andhra_Pradesh,AMBERPET,0,0.0,False,16,202014.0,59.3
Andhra_Pradesh,AMMANABROLU,0,0.0,False,3,64442.0,76.27
Andhra_Pradesh,ANAKAPALLE,0,0.0,False,12,182820.0,78.54
Andhra_Pradesh,ANAKAPALLI,2,2.73972602739726,False,73,205573.0,77.47
Andhra_Pradesh,ANANTAPUR,0,0.0,False,54,246290.0,59.99
Andhra_Pradesh,ANANTAPUR URBAN,0,0.0,False,66,255852.0,64.55
Andhra_Pradesh,ANAPARTHI,0,0.0,False,11,90396.0,0.0
Andhra_Pradesh,ANAPARTHY,2,2.150537634408602,False,93,213511.0,87.45
Andhra_Pradesh,ANATAPUR,0,0.0,False,5,90274.0,40.19
Andhra_Pradesh,ANDOLE,0,0.0,False,62,226321.0,75.21
Andhra_Pradesh,ARAKU VALLEY,2,6.25,False,32,220893.0,71.34
Andhra_Pradesh,ARMOOR,0,0.0,False,42,177351.0,68.33
Andhra_Pradesh,ARMUR,0,0.0,False,10,163658.0,73.83
Andhra_Pradesh,ASAFNAGAR,0,0.0,False,125,184789.0,44.6
Andhra_Pradesh,ASIFABAD,0,0.0,False,62,154321.0,76.41
Andhra_Pradesh,ASWARAOPETA,0,0.0,False,10,153271.0,81.76
Andhra_Pradesh,ATMAKUR,1,0.6451612903225806,False,155,209051.0,83.38
Andhra_Pradesh,ATTILI,0,0.0,False,74,135587.0,78.92
Andhra_Pradesh,AVANIGADDA,1,1.1235955056179776,False,89,207353.0,88.92
Andhra_Pradesh,BADVEL,2,1.2345679012345678,False,162,205338.0,76.37
Andhra_Pradesh,BAHDURPURA,0,0.0,False,11,189361.0,48.82
Andhra_Pradesh,BALIJIPETA,0,0.0,False,2,58081.0,68.95
Andhra_Pradesh,BALKONDA,0,0.0,False,57,169042.0,76.0
Andhra_Pradesh,BANAGANAPALLE,2,4.878048780487805,False,41,233754.0,83.43
Andhra_Pradesh,BANDAR,0,0.0,False,65,160581.0,65.42
Andhra_Pradesh,BANGARIPOLIEM,0,0.0,False,7,78550.0,49.09
Andhra_Pradesh,BANSWADA,0,0.0,False,63,161732.0,79.3
Andhra_Pradesh,BAPATA,0,0.0,False,4,79444.0,71.94
Andhra_Pradesh,BAPATLA,2,1.7857142857142858,False,112,185076.0,83.08
Andhra_Pradesh,BEGUM BAZAAR,0,0.0,False,4,44754.0,56.25
Andhra_Pradesh,BELLAMPALLY,0,0.0,False,7,139312.0,73.39
Andhra_Pradesh,BHADRACHALAM,0,0.0,False,44,186917.0,71.99
Andhra_Pradesh,BHADRACHELAM,0,0.0,False,9,187694.0,76.67
Andhra_Pradesh,BHADRAHCALAM,0,0.0,False,5,149609.0,63.41
Andhra_Pradesh,BHEEMUNIPATNAM,0,0.0,False,39,157449.0,76.4
Andhra_Pradesh,BHEMUNIPATNAM,0,0.0,False,3,78857.0,62.29
Andhra_Pradesh,BHIMAVARAM,0,0.0,False,107,246424.0,77.94
Andhra_Pradesh,BHIMLI,1,3.3333333333333335,False,30,307144.0,74.85
Andhra_Pradesh,BHOGAPURAM,0,0.0,False,28,128775.0,81.23
Andhra_Pradesh,BHONGIR,0,0.0,False,81,186195.0,79.69
Andhra_Pradesh,BHUPALPALLE,0,0.0,False,18,222582.0,72.19
Andhra_Pradesh,BOATH,0,0.0,False,51,142890.0,81.21
Andhra_Pradesh,BOBBILI,0,0.0,False,70,220854.0,78.99
Andhra_Pradesh,BODDAM,0,0.0,False,2,56974.0,66.54
Andhra_Pradesh,BODHAN,0,0.0,False,61,180181.0,73.27
Andhra_Pradesh,BRAHMANATARLA,0,0.0,False,7,64597.0,52.07
Andhra_Pradesh,BUCHIREDDIPALEM,0,0.0,False,2,72003.0,76.21
Andhra_Pradesh,BUGGARAM,0,0.0,False,48,195000.0,64.41
Andhra_Pradesh,BURAGAMPAHAD,0,0.0,False,4,76856.0,69.14
Andhra_Pradesh,BURGAMPAHAD,0,0.0,False,39,185699.0,72.91
Andhra_Pradesh,BURUGUPUDI,0,0.0,False,60,145001.0,78.22
Andhra_Pradesh,CHALAKURTHI,0,0.0,False,48,184662.0,74.17
Andhra_Pradesh,CHANDRAGIRI,2,1.8181818181818181,False,110,292162.0,78.1
Andhra_Pradesh,CHANDRAYANGUTTA,0,0.0,False,89,176158.0,55.43
Andhra_Pradesh,CHANNUR,0,0.0,False,2,63538.0,72.6
Andhra_Pradesh,CHARMINAR,0,0.0,False,88,166938.0,53.89
